nohup: ignoring input
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/dask/dataframe/__init__.py:31: FutureWarning: The legacy Dask DataFrame implementation is deprecated and will be removed in a future version. Set the configuration option `dataframe.query-planning` to `True` or None to enable the new Dask Dataframe implementation and silence this warning.
  warnings.warn(
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/xarray_schema/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
Loading Base Data for Entire Cohort...
Found 66 unique regions across the entire dataset.

================================================================================
Evaluating Dictionary: ablation_knn_gcn
================================================================================

-> Processing: B004_Ascending (21232 cells)
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 8 patches with halo...
  0%|          | 0/8 [00:00<?, ?it/s] 12%|█▎        | 1/8 [00:00<00:01,  6.81it/s] 25%|██▌       | 2/8 [00:00<00:00,  6.77it/s] 38%|███▊      | 3/8 [00:00<00:00,  6.68it/s] 50%|█████     | 4/8 [00:00<00:00,  6.99it/s] 62%|██████▎   | 5/8 [00:00<00:00,  7.01it/s] 75%|███████▌  | 6/8 [00:00<00:00,  7.17it/s] 88%|████████▊ | 7/8 [00:00<00:00,  7.26it/s]100%|██████████| 8/8 [00:01<00:00,  7.09it/s]100%|██████████| 8/8 [00:01<00:00,  7.03it/s]
Iter 0 | Total: 46.6129 | LL: -35.5904 | CE: 11.0225
Iter 1 | Total: 41.5320 | LL: -30.6740 | CE: 10.8580
Iter 2 | Total: 37.9973 | LL: -27.4586 | CE: 10.5387
Iter 3 | Total: 35.4399 | LL: -25.2366 | CE: 10.2033
Iter 4 | Total: 33.5220 | LL: -23.6186 | CE: 9.9034
Iter 5 | Total: 32.0395 | LL: -22.3766 | CE: 9.6629
Iter 6 | Total: 30.8559 | LL: -21.3714 | CE: 9.4845
Iter 7 | Total: 29.8810 | LL: -20.5209 | CE: 9.3601
Iter 8 | Total: 29.0573 | LL: -19.7779 | CE: 9.2795
Iter 9 | Total: 28.3487 | LL: -19.1145 | CE: 9.2342
Iter 10 | Total: 27.7325 | LL: -18.5140 | CE: 9.2185
Iter 11 | Total: 27.1952 | LL: -17.9664 | CE: 9.2287
Iter 12 | Total: 26.7306 | LL: -17.4673 | CE: 9.2633
Iter 13 | Total: 26.3387 | LL: -17.0170 | CE: 9.3217
Iter 14 | Total: 26.0232 | LL: -16.6185 | CE: 9.4047
Iter 15 | Total: 25.7869 | LL: -16.2735 | CE: 9.5133
Iter 16 | Total: 25.6292 | LL: -15.9805 | CE: 9.6486
Iter 17 | Total: 25.5457 | LL: -15.7345 | CE: 9.8113
Iter 18 | Total: 25.5299 | LL: -15.5285 | CE: 10.0014
Iter 19 | Total: 25.5744 | LL: -15.3557 | CE: 10.2186
Iter 20 | Total: 25.6726 | LL: -15.2101 | CE: 10.4625
Iter 21 | Total: 25.8193 | LL: -15.0865 | CE: 10.7328
Iter 22 | Total: 26.0103 | LL: -14.9808 | CE: 11.0294
Iter 23 | Total: 26.2425 | LL: -14.8900 | CE: 11.3525
Iter 24 | Total: 26.5135 | LL: -14.8114 | CE: 11.7022
Iter 25 | Total: 26.8214 | LL: -14.7430 | CE: 12.0784
Iter 26 | Total: 27.1641 | LL: -14.6835 | CE: 12.4806
Iter 27 | Total: 27.5389 | LL: -14.6314 | CE: 12.9074
Iter 28 | Total: 27.9430 | LL: -14.5858 | CE: 13.3572
Iter 29 | Total: 28.3737 | LL: -14.5458 | CE: 13.8280
Iter 0 | Total: 69.6577 | LL: -59.2065 | CE: 10.4512
Iter 1 | Total: 54.0380 | LL: -43.6917 | CE: 10.3463
Iter 2 | Total: 46.3532 | LL: -36.1794 | CE: 10.1738
Iter 3 | Total: 42.2302 | LL: -32.2201 | CE: 10.0101
Iter 4 | Total: 39.6856 | LL: -29.8222 | CE: 9.8634
Iter 5 | Total: 37.8663 | LL: -28.1337 | CE: 9.7326
Iter 6 | Total: 36.4032 | LL: -26.7877 | CE: 9.6155
Iter 7 | Total: 35.1395 | LL: -25.6286 | CE: 9.5108
Iter 8 | Total: 34.0111 | LL: -24.5916 | CE: 9.4195
Iter 9 | Total: 32.9943 | LL: -23.6508 | CE: 9.3435
Iter 10 | Total: 32.0825 | LL: -22.7971 | CE: 9.2855
Iter 11 | Total: 31.2759 | LL: -22.0281 | CE: 9.2478
Iter 12 | Total: 30.5751 | LL: -21.3428 | CE: 9.2323
Iter 13 | Total: 29.9779 | LL: -20.7379 | CE: 9.2400
Iter 14 | Total: 29.4783 | LL: -20.2070 | CE: 9.2713
Iter 15 | Total: 29.0680 | LL: -19.7418 | CE: 9.3261
Iter 16 | Total: 28.7375 | LL: -19.3335 | CE: 9.4040
Iter 17 | Total: 28.4778 | LL: -18.9738 | CE: 9.5040
Iter 18 | Total: 28.2812 | LL: -18.6557 | CE: 9.6255
Iter 19 | Total: 28.1410 | LL: -18.3735 | CE: 9.7674
Iter 20 | Total: 28.0516 | LL: -18.1227 | CE: 9.9290
Iter 21 | Total: 28.0086 | LL: -17.8993 | CE: 10.1092
Iter 22 | Total: 28.0078 | LL: -17.7003 | CE: 10.3075
Iter 23 | Total: 28.0456 | LL: -17.5228 | CE: 10.5228
Iter 24 | Total: 28.1188 | LL: -17.3643 | CE: 10.7545
Iter 25 | Total: 28.2242 | LL: -17.2226 | CE: 11.0016
Iter 26 | Total: 28.3588 | LL: -17.0955 | CE: 11.2633
Iter 27 | Total: 28.5202 | LL: -16.9815 | CE: 11.5387
Iter 28 | Total: 28.7060 | LL: -16.8791 | CE: 11.8269
Iter 29 | Total: 28.9138 | LL: -16.7869 | CE: 12.1269
Iter 0 | Total: 46.4689 | LL: -35.8351 | CE: 10.6338
Iter 1 | Total: 41.0062 | LL: -30.4473 | CE: 10.5590
Iter 2 | Total: 38.0208 | LL: -27.5986 | CE: 10.4222
Iter 3 | Total: 36.1103 | LL: -25.8072 | CE: 10.3031
Iter 4 | Total: 34.6902 | LL: -24.4698 | CE: 10.2204
Iter 5 | Total: 33.5329 | LL: -23.3538 | CE: 10.1790
Iter 6 | Total: 32.5553 | LL: -22.3714 | CE: 10.1839
Iter 7 | Total: 31.7290 | LL: -21.4881 | CE: 10.2410
Iter 8 | Total: 31.0466 | LL: -20.6915 | CE: 10.3551
Iter 9 | Total: 30.5082 | LL: -19.9793 | CE: 10.5288
Iter 10 | Total: 30.1134 | LL: -19.3509 | CE: 10.7625
Iter 11 | Total: 29.8563 | LL: -18.8021 | CE: 11.0542
Iter 12 | Total: 29.7259 | LL: -18.3250 | CE: 11.4009
Iter 13 | Total: 29.7096 | LL: -17.9105 | CE: 11.7992
Iter 14 | Total: 29.7952 | LL: -17.5497 | CE: 12.2455
Iter 15 | Total: 29.9715 | LL: -17.2349 | CE: 12.7366
Iter 16 | Total: 30.2289 | LL: -16.9596 | CE: 13.2693
Iter 17 | Total: 30.5589 | LL: -16.7185 | CE: 13.8403
Iter 18 | Total: 30.9533 | LL: -16.5076 | CE: 14.4457
Iter 19 | Total: 31.4044 | LL: -16.3233 | CE: 15.0811
Iter 20 | Total: 31.9048 | LL: -16.1626 | CE: 15.7422
Iter 21 | Total: 32.4476 | LL: -16.0229 | CE: 16.4247
Iter 22 | Total: 33.0262 | LL: -15.9015 | CE: 17.1247
Iter 23 | Total: 33.6345 | LL: -15.7964 | CE: 17.8381
Iter 24 | Total: 34.2666 | LL: -15.7053 | CE: 18.5613
Iter 25 | Total: 34.9174 | LL: -15.6267 | CE: 19.2908
Iter 26 | Total: 35.5820 | LL: -15.5587 | CE: 20.0233
Iter 27 | Total: 36.2554 | LL: -15.4999 | CE: 20.7555
Iter 28 | Total: 36.9335 | LL: -15.4492 | CE: 21.4843
Iter 29 | Total: 37.6127 | LL: -15.4055 | CE: 22.2072
Iter 0 | Total: 50.7622 | LL: -40.2932 | CE: 10.4690
Iter 1 | Total: 43.4622 | LL: -33.0814 | CE: 10.3808
Iter 2 | Total: 39.6610 | LL: -29.4245 | CE: 10.2366
Iter 3 | Total: 37.3270 | LL: -27.2200 | CE: 10.1070
Iter 4 | Total: 35.6056 | LL: -25.6068 | CE: 9.9989
Iter 5 | Total: 34.1743 | LL: -24.2610 | CE: 9.9134
Iter 6 | Total: 32.9233 | LL: -23.0665 | CE: 9.8568
Iter 7 | Total: 31.8242 | LL: -21.9855 | CE: 9.8387
Iter 8 | Total: 30.8784 | LL: -21.0102 | CE: 9.8682
Iter 9 | Total: 30.0949 | LL: -20.1434 | CE: 9.9516
Iter 10 | Total: 29.4776 | LL: -19.3863 | CE: 10.0913
Iter 11 | Total: 29.0206 | LL: -18.7340 | CE: 10.2866
Iter 12 | Total: 28.7097 | LL: -18.1754 | CE: 10.5342
Iter 13 | Total: 28.5261 | LL: -17.6961 | CE: 10.8300
Iter 14 | Total: 28.4516 | LL: -17.2821 | CE: 11.1695
Iter 15 | Total: 28.4705 | LL: -16.9220 | CE: 11.5485
Iter 16 | Total: 28.5705 | LL: -16.6073 | CE: 11.9632
Iter 17 | Total: 28.7420 | LL: -16.3318 | CE: 12.4102
Iter 18 | Total: 28.9764 | LL: -16.0902 | CE: 12.8861
Iter 19 | Total: 29.2662 | LL: -15.8784 | CE: 13.3878
Iter 20 | Total: 29.6048 | LL: -15.6926 | CE: 13.9122
Iter 21 | Total: 29.9862 | LL: -15.5294 | CE: 14.4568
Iter 22 | Total: 30.4048 | LL: -15.3861 | CE: 15.0187
Iter 23 | Total: 30.8551 | LL: -15.2601 | CE: 15.5950
Iter 24 | Total: 31.3320 | LL: -15.1494 | CE: 16.1826
Iter 25 | Total: 31.8304 | LL: -15.0520 | CE: 16.7784
Iter 26 | Total: 32.3456 | LL: -14.9664 | CE: 17.3792
Iter 27 | Total: 32.8736 | LL: -14.8910 | CE: 17.9826
Iter 28 | Total: 33.4111 | LL: -14.8246 | CE: 18.5865
Iter 29 | Total: 33.9559 | LL: -14.7662 | CE: 19.1897
Iter 0 | Total: 70.9133 | LL: -60.7023 | CE: 10.2110
Iter 1 | Total: 56.2321 | LL: -46.1079 | CE: 10.1242
Iter 2 | Total: 48.6148 | LL: -38.6646 | CE: 9.9501
Iter 3 | Total: 44.2494 | LL: -34.4877 | CE: 9.7617
Iter 4 | Total: 41.4099 | LL: -31.8246 | CE: 9.5853
Iter 5 | Total: 39.2915 | LL: -29.8699 | CE: 9.4216
Iter 6 | Total: 37.5337 | LL: -28.2692 | CE: 9.2645
Iter 7 | Total: 35.9840 | LL: -26.8737 | CE: 9.1104
Iter 8 | Total: 34.5868 | LL: -25.6270 | CE: 8.9598
Iter 9 | Total: 33.3280 | LL: -24.5110 | CE: 8.8170
Iter 10 | Total: 32.2067 | LL: -23.5188 | CE: 8.6879
Iter 11 | Total: 31.2217 | LL: -22.6436 | CE: 8.5781
Iter 12 | Total: 30.3672 | LL: -21.8755 | CE: 8.4916
Iter 13 | Total: 29.6337 | LL: -21.2028 | CE: 8.4309
Iter 14 | Total: 29.0100 | LL: -20.6134 | CE: 8.3966
Iter 15 | Total: 28.4849 | LL: -20.0965 | CE: 8.3884
Iter 16 | Total: 28.0483 | LL: -19.6431 | CE: 8.4052
Iter 17 | Total: 27.6912 | LL: -19.2457 | CE: 8.4455
Iter 18 | Total: 27.4056 | LL: -18.8980 | CE: 8.5077
Iter 19 | Total: 27.1844 | LL: -18.5943 | CE: 8.5901
Iter 20 | Total: 27.0207 | LL: -18.3295 | CE: 8.6912
Iter 21 | Total: 26.9083 | LL: -18.0986 | CE: 8.8097
Iter 22 | Total: 26.8412 | LL: -17.8971 | CE: 8.9441
Iter 23 | Total: 26.8142 | LL: -17.7209 | CE: 9.0934
