nohup: ignoring input
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/dask/dataframe/__init__.py:31: FutureWarning: The legacy Dask DataFrame implementation is deprecated and will be removed in a future version. Set the configuration option `dataframe.query-planning` to `True` or None to enable the new Dask Dataframe implementation and silence this warning.
  warnings.warn(
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/xarray_schema/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)

--- RUNNING LOCAL ABLATION ---
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
/hpc/group/yizhanglab/vk93/sthd-codex/sthd_all_region_mu_dict_ablation.py:69: FutureWarning: In the future, the default backend for leiden will be igraph instead of leidenalg.

 To achieve the future defaults please pass: flavor="igraph" and n_iterations=2.  directed must also be False to work with igraph's implementation.
  sc.tl.leiden(adata_tmp, resolution=1.0, random_state=43, key_added='leiden')
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 8 patches with halo...
  0%|          | 0/8 [00:00<?, ?it/s] 12%|█▎        | 1/8 [00:00<00:00,  7.04it/s] 25%|██▌       | 2/8 [00:00<00:00,  7.03it/s] 38%|███▊      | 3/8 [00:00<00:00,  7.17it/s] 50%|█████     | 4/8 [00:00<00:00,  7.09it/s] 62%|██████▎   | 5/8 [00:00<00:00,  7.10it/s] 75%|███████▌  | 6/8 [00:00<00:00,  7.18it/s] 88%|████████▊ | 7/8 [00:00<00:00,  7.20it/s]100%|██████████| 8/8 [00:01<00:00,  7.10it/s]100%|██████████| 8/8 [00:01<00:00,  7.12it/s]
Iter 0 | Total: 78.0441 | LL: -68.5414 | CE: 9.5027
Iter 1 | Total: 62.1241 | LL: -52.8172 | CE: 9.3069
Iter 2 | Total: 52.8131 | LL: -43.8312 | CE: 8.9819
Iter 3 | Total: 47.4419 | LL: -38.7642 | CE: 8.6777
Iter 4 | Total: 44.0630 | LL: -35.6447 | CE: 8.4184
Iter 5 | Total: 41.6544 | LL: -33.4726 | CE: 8.1818
Iter 6 | Total: 39.7724 | LL: -31.8225 | CE: 7.9499
Iter 7 | Total: 38.2312 | LL: -30.5117 | CE: 7.7195
Iter 8 | Total: 36.9394 | LL: -29.4451 | CE: 7.4943
Iter 9 | Total: 35.8400 | LL: -28.5625 | CE: 7.2774
Iter 10 | Total: 34.8931 | LL: -27.8230 | CE: 7.0701
Iter 11 | Total: 34.0710 | LL: -27.1987 | CE: 6.8723
Iter 12 | Total: 33.3548 | LL: -26.6702 | CE: 6.6846
Iter 13 | Total: 32.7311 | LL: -26.2231 | CE: 6.5079
Iter 14 | Total: 32.1894 | LL: -25.8455 | CE: 6.3440
Iter 15 | Total: 31.7208 | LL: -25.5267 | CE: 6.1941
Iter 16 | Total: 31.3171 | LL: -25.2578 | CE: 6.0593
Iter 17 | Total: 30.9704 | LL: -25.0305 | CE: 5.9398
Iter 18 | Total: 30.6730 | LL: -24.8378 | CE: 5.8351
Iter 19 | Total: 30.4176 | LL: -24.6734 | CE: 5.7442
Iter 20 | Total: 30.1978 | LL: -24.5321 | CE: 5.6657
Iter 21 | Total: 30.0078 | LL: -24.4095 | CE: 5.5982
Iter 22 | Total: 29.8427 | LL: -24.3024 | CE: 5.5402
Iter 23 | Total: 29.6985 | LL: -24.2080 | CE: 5.4904
Iter 24 | Total: 29.5719 | LL: -24.1242 | CE: 5.4477
Iter 25 | Total: 29.4603 | LL: -24.0491 | CE: 5.4111
Iter 26 | Total: 29.3616 | LL: -23.9816 | CE: 5.3800
Iter 27 | Total: 29.2742 | LL: -23.9205 | CE: 5.3538
Iter 28 | Total: 29.1970 | LL: -23.8649 | CE: 5.3322
Iter 29 | Total: 29.1291 | LL: -23.8141 | CE: 5.3150
Iter 0 | Total: 111.8664 | LL: -102.8562 | CE: 9.0102
Iter 1 | Total: 84.4291 | LL: -75.5689 | CE: 8.8602
Iter 2 | Total: 69.3711 | LL: -60.7775 | CE: 8.5936
