nohup: ignoring input
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/dask/dataframe/__init__.py:31: FutureWarning: The legacy Dask DataFrame implementation is deprecated and will be removed in a future version. Set the configuration option `dataframe.query-planning` to `True` or None to enable the new Dask Dataframe implementation and silence this warning.
  warnings.warn(
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/xarray_schema/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)

--- RUNNING UNIVERSAL ABLATION (FIXED) ---
Loading cached Universal Dictionary...

Processing UNIVERSAL Region: B009_Mid jejunum_extra (56182 cells)
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 16 patches with halo...

  0%|          | 0/16 [00:00<?, ?it/s]
  6%|▋         | 1/16 [00:00<00:03,  3.83it/s]
 12%|█▎        | 2/16 [00:00<00:03,  4.57it/s]
 19%|█▉        | 3/16 [00:00<00:02,  4.76it/s]
 25%|██▌       | 4/16 [00:00<00:02,  5.00it/s]
 31%|███▏      | 5/16 [00:01<00:02,  5.03it/s]
 38%|███▊      | 6/16 [00:01<00:01,  5.18it/s]
 44%|████▍     | 7/16 [00:01<00:01,  5.18it/s]
 50%|█████     | 8/16 [00:01<00:01,  5.29it/s]
 56%|█████▋    | 9/16 [00:01<00:01,  5.17it/s]
 62%|██████▎   | 10/16 [00:01<00:01,  5.12it/s]
 69%|██████▉   | 11/16 [00:02<00:00,  5.19it/s]
 75%|███████▌  | 12/16 [00:02<00:00,  5.31it/s]
 81%|████████▏ | 13/16 [00:02<00:00,  5.37it/s]
 88%|████████▊ | 14/16 [00:02<00:00,  5.27it/s]
 94%|█████████▍| 15/16 [00:02<00:00,  5.17it/s]
100%|██████████| 16/16 [00:03<00:00,  5.28it/s]
100%|██████████| 16/16 [00:03<00:00,  5.14it/s]
Iter 0 | Total: 1309.0893 | LL: -1299.4289 | CE: 9.6603
Iter 1 | Total: 727.0765 | LL: -717.5038 | CE: 9.5727
Iter 2 | Total: 468.9678 | LL: -459.5215 | CE: 9.4463
Iter 3 | Total: 344.2752 | LL: -334.9557 | CE: 9.3196
Iter 4 | Total: 276.6725 | LL: -267.4777 | CE: 9.1949
Iter 5 | Total: 235.0558 | LL: -225.9849 | CE: 9.0709
Iter 6 | Total: 206.0990 | LL: -197.1552 | CE: 8.9438
Iter 7 | Total: 183.9902 | LL: -175.1797 | CE: 8.8105
Iter 8 | Total: 166.1368 | LL: -157.4660 | CE: 8.6708
Iter 9 | Total: 151.3045 | LL: -142.7779 | CE: 8.5266
Iter 10 | Total: 138.8242 | LL: -130.4435 | CE: 8.3807
Iter 11 | Total: 128.2645 | LL: -120.0286 | CE: 8.2358
Iter 12 | Total: 119.3015 | LL: -111.2074 | CE: 8.0941
Iter 13 | Total: 111.6724 | LL: -103.7154 | CE: 7.9570
Iter 14 | Total: 105.1580 | LL: -97.3326 | CE: 7.8254
Iter 15 | Total: 99.5754 | LL: -91.8755 | CE: 7.7000
Iter 16 | Total: 94.7725 | LL: -87.1917 | CE: 7.5808
Iter 17 | Total: 90.6238 | LL: -83.1557 | CE: 7.4680
Iter 18 | Total: 87.0256 | LL: -79.6641 | CE: 7.3615
Iter 19 | Total: 83.8929 | LL: -76.6319 | CE: 7.2610
Iter 20 | Total: 81.1555 | LL: -73.9892 | CE: 7.1663
Iter 21 | Total: 78.7547 | LL: -71.6777 | CE: 7.0770
Iter 22 | Total: 76.6408 | LL: -69.6481 | CE: 6.9927
Iter 23 | Total: 74.7710 | LL: -67.8580 | CE: 6.9131
Iter 24 | Total: 73.1087 | LL: -66.2710 | CE: 6.8377
Iter 25 | Total: 71.6226 | LL: -64.8563 | CE: 6.7663
Iter 26 | Total: 70.2860 | LL: -63.5877 | CE: 6.6983
Iter 27 | Total: 69.0766 | LL: -62.4431 | CE: 6.6335
Iter 28 | Total: 67.9755 | LL: -61.4041 | CE: 6.5714
Iter 29 | Total: 66.9669 | LL: -60.4551 | CE: 6.5117
Iter 0 | Total: 203.9414 | LL: -194.0162 | CE: 9.9252
Iter 1 | Total: 117.8944 | LL: -108.0273 | CE: 9.8671
Iter 2 | Total: 81.4020 | LL: -71.6294 | CE: 9.7726
Iter 3 | Total: 64.8583 | LL: -55.1826 | CE: 9.6757
Iter 4 | Total: 56.5409 | LL: -46.9574 | CE: 9.5835
Iter 5 | Total: 51.8567 | LL: -42.3611 | CE: 9.4956
Iter 6 | Total: 48.9067 | LL: -39.4945 | CE: 9.4122
